wl	n
0.925478	2.27077326844
0.927612	2.27055457653
0.92975	2.27033679974
0.931894	2.27011993178
0.934042	2.26990396637
0.936195	2.26968889731
0.938353	2.26947471838
0.940516	2.26926142346
0.942684	2.2690490064
0.944857	2.26883746114
0.947036	2.26862678163
0.949219	2.26841696185
0.951407	2.26820799582
0.9536	2.2679998776
0.955798	2.26779260129
0.958002	2.267586161
0.96021	2.26738055089
0.962424	2.26717576514
0.964642	2.26697179799
0.966866	2.26676864369
0.969095	2.26656629651
0.971329	2.26636475078
0.973568	2.26616400086
0.975812	2.26596404111
0.978062	2.26576486594
0.980316	2.26556646981
0.982576	2.26536884719
0.984841	2.26517199256
0.987112	2.26497590048
0.989387	2.26478056549
0.991668	2.26458598219
0.993954	2.2643921452
0.996245	2.26419904916
0.998542	2.26400668876
1.00084	2.26381505869
1.00315	2.2636241537
1.00546	2.26343396853
1.00778	2.26324449798
1.0101	2.26305573686
1.01243	2.26286768002
1.01477	2.26268032232
1.01711	2.26249365866
1.01945	2.26230768396
1.0218	2.26212239317
1.02416	2.26193778125
1.02652	2.26175384322
1.02888	2.26157057408
1.03126	2.26138796889
1.03363	2.26120602273
1.03602	2.26102473069
1.0384	2.2608440879
1.0408	2.2606640895
1.0432	2.26048473066
1.0456	2.26030600657
1.04801	2.26012791246
1.05043	2.25995044357
1.05285	2.25977359515
1.05528	2.2595973625
1.05771	2.25942174093
1.06015	2.25924672577
1.06259	2.25907231237
1.06504	2.25889849611
1.0675	2.25872527238
1.06996	2.25855263662
1.07242	2.25838058426
1.0749	2.25820911075
1.07737	2.2580382116
1.07986	2.25786788229
1.08235	2.25769811837
1.08484	2.25752891536
1.08734	2.25736026884
1.08985	2.25719217439
1.09236	2.25702462763
1.09488	2.25685762417
1.0974	2.25669115966
1.09993	2.25652522977
1.10247	2.25635983018
1.10501	2.25619495659
1.10756	2.25603060473
1.11011	2.25586677033
1.11267	2.25570344915
1.11523	2.25554063698
1.11781	2.2553783296
1.12038	2.25521652284
1.12297	2.25505521251
1.12555	2.25489439447
1.12815	2.25473406459
1.13075	2.25457421875
1.13336	2.25441485285
1.13597	2.25425596281
1.13859	2.25409754456
1.14121	2.25393959405
1.14384	2.25378210725
1.14648	2.25362508015
1.14912	2.25346850874
1.15177	2.25331238904
1.15443	2.25315671708
1.15709	2.25300148891
1.15976	2.2528467006
1.16243	2.25269234821
1.16511	2.25253842785
1.16779	2.25238493563
1.17049	2.25223186766
1.17318	2.25207922008
1.17589	2.25192698906
1.1786	2.25177517075
1.18132	2.25162376134
1.18404	2.25147275703
1.18677	2.25132215402
1.18951	2.25117194854
1.19225	2.25102213683
1.195	2.25087271514
1.19775	2.25072367973
1.20051	2.25057502689
1.20328	2.25042675289
1.20605	2.25027885406
1.20883	2.25013132671
1.21162	2.24998416716
1.21441	2.24983737177
1.21721	2.24969093688
1.22002	2.24954485887
1.22283	2.24939913411
1.22565	2.249253759
1.22847	2.24910872995
1.23131	2.24896404336
1.23415	2.24881969568
1.23699	2.24867568333
1.23984	2.24853200277
1.2427	2.24838865047
1.24556	2.24824562289
1.24844	2.24810291652
1.25131	2.24796052786
1.2542	2.24781845342
1.25709	2.24767668972
1.25999	2.24753523327
1.26289	2.24739408063
1.2658	2.24725322834
1.26872	2.24711267296
1.27165	2.24697241106
1.27458	2.24683243923
1.27752	2.24669275404
1.28046	2.24655335211
